2024-11-15 16:18:42.843 INFO  org.glowroot - Glowroot version: 0.14.3-beta.5, built 2024-09-02 22:56:34 +0000
2024-11-15 16:18:42.846 INFO  org.glowroot - Java version: 22.0.2 (Oracle Corporation / Windows 10)
2024-11-15 16:18:42.847 INFO  org.glowroot - Java args: -javaagent:glowroot/glowroot.jar -XX:TieredStopAtLevel=1 -javaagent:D:\Program Files\JetBrains\IntelliJ IDEA 2024.1.4\lib\idea_rt.jar=57423:D:\Program Files\JetBrains\IntelliJ IDEA 2024.1.4\bin
2024-11-15 16:18:44.238 WARN  org.glowroot - one or more important classes were loaded before Glowroot instrumentation could be applied to them: java.net.HttpURLConnection
2024-11-15 16:18:45.196 INFO  org.glowroot - creating glowroot schema...
2024-11-15 16:18:45.357 INFO  org.glowroot - glowroot schema created
2024-11-15 16:18:45.663 INFO  org.glowroot - UI listening on 127.0.0.1:4000 (to access the UI from remote machines, change the bind address to 0.0.0.0, either in the Glowroot UI under Configuration > Web or directly in the admin.json file, and then restart JVM to take effect)
2024-11-15 16:27:56.011 INFO  org.glowroot - Glowroot version: 0.14.3-beta.5, built 2024-09-02 22:56:34 +0000
2024-11-15 16:27:56.015 INFO  org.glowroot - Java version: 22.0.2 (Oracle Corporation / Windows 10)
2024-11-15 16:27:56.016 INFO  org.glowroot - Java args: -javaagent:glowroot/glowroot.jar -XX:TieredStopAtLevel=1 -javaagent:D:\Program Files\JetBrains\IntelliJ IDEA 2024.1.4\lib\idea_rt.jar=57769:D:\Program Files\JetBrains\IntelliJ IDEA 2024.1.4\bin
2024-11-15 16:27:57.289 WARN  org.glowroot - one or more important classes were loaded before Glowroot instrumentation could be applied to them: java.net.HttpURLConnection
2024-11-15 16:27:58.666 INFO  org.glowroot - UI listening on 127.0.0.1:4000 (to access the UI from remote machines, change the bind address to 0.0.0.0, either in the Glowroot UI under Configuration > Web or directly in the admin.json file, and then restart JVM to take effect)
2024-11-15 16:32:34.026 INFO  org.glowroot - Glowroot version: 0.14.3-beta.5, built 2024-09-02 22:56:34 +0000
2024-11-15 16:32:34.029 INFO  org.glowroot - Java version: 22.0.2 (Oracle Corporation / Windows 10)
2024-11-15 16:32:34.030 INFO  org.glowroot - Java args: -javaagent:glowroot/glowroot.jar -XX:TieredStopAtLevel=1 -javaagent:D:\Program Files\JetBrains\IntelliJ IDEA 2024.1.4\lib\idea_rt.jar=57943:D:\Program Files\JetBrains\IntelliJ IDEA 2024.1.4\bin
2024-11-15 16:32:35.317 WARN  org.glowroot - one or more important classes were loaded before Glowroot instrumentation could be applied to them: java.net.HttpURLConnection
2024-11-15 16:32:36.648 INFO  org.glowroot - UI listening on 127.0.0.1:4000 (to access the UI from remote machines, change the bind address to 0.0.0.0, either in the Glowroot UI under Configuration > Web or directly in the admin.json file, and then restart JVM to take effect)
